case_id,role,mechanisms,n_mechanisms,observed_class,predicted_class,model_match
ND2-00-CLEAN,clean_control,,0,TOOLCHAIN_ACCEPT_TARGET_MATCH,TOOLCHAIN_ACCEPT_TARGET_MATCH,True
ND2-01-SOURCE_CORRUPTION,single_fault,SOURCE_CORRUPTION,1,FRONTEND_REJECT,FRONTEND_REJECT,True
ND2-02-UNKNOWN_TYPE,single_fault,UNKNOWN_TYPE,1,TOOLCHAIN_ACCEPT_TARGET_MATCH,TOOLCHAIN_ACCEPT_TARGET_MATCH,True
ND2-03-PROHIBITED_PLACEHOLDER,single_fault,PROHIBITED_PLACEHOLDER,1,TOOLCHAIN_ACCEPT_POLICY_REJECT,TOOLCHAIN_ACCEPT_POLICY_REJECT,True
ND2-04-INVALID_PROOF,single_fault,INVALID_PROOF,1,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,True
ND2-05-WRONG_TARGET,single_fault,WRONG_TARGET,1,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,True
ND2-06-SOURCE_CORRUPTION+UNKNOWN_TYPE,compound_fault,SOURCE_CORRUPTION+UNKNOWN_TYPE,2,FRONTEND_REJECT,FRONTEND_REJECT,True
ND2-07-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER,compound_fault,SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER,2,FRONTEND_REJECT,FRONTEND_REJECT,True
ND2-08-SOURCE_CORRUPTION+INVALID_PROOF,compound_fault,SOURCE_CORRUPTION+INVALID_PROOF,2,FRONTEND_REJECT,FRONTEND_REJECT,True
ND2-09-SOURCE_CORRUPTION+WRONG_TARGET,compound_fault,SOURCE_CORRUPTION+WRONG_TARGET,2,FRONTEND_REJECT,FRONTEND_REJECT,True
ND2-10-UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER,compound_fault,UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER,2,TOOLCHAIN_ACCEPT_POLICY_REJECT,TOOLCHAIN_ACCEPT_POLICY_REJECT,True
ND2-11-UNKNOWN_TYPE+INVALID_PROOF,compound_fault,UNKNOWN_TYPE+INVALID_PROOF,2,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,True
ND2-12-UNKNOWN_TYPE+WRONG_TARGET,compound_fault,UNKNOWN_TYPE+WRONG_TARGET,2,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,True
ND2-13-PROHIBITED_PLACEHOLDER+INVALID_PROOF,compound_fault,PROHIBITED_PLACEHOLDER+INVALID_PROOF,2,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,True
ND2-14-PROHIBITED_PLACEHOLDER+WRONG_TARGET,compound_fault,PROHIBITED_PLACEHOLDER+WRONG_TARGET,2,TOOLCHAIN_ACCEPT_POLICY_REJECT,TOOLCHAIN_ACCEPT_POLICY_REJECT,True
